Date,ACWI Standard (Large+Mid Cap)
"Feb 28, 2017",444.503
"Mar 31, 2017",448.866
"Apr 28, 2017",455.173
"May 31, 2017",463.794
"Jun 30, 2017",465.088
"Jul 31, 2017",477.583
"Aug 31, 2017",478.406
"Sep 29, 2017",486.879
"Oct 31, 2017",496.625
"Nov 30, 2017",505.442
"Dec 29, 2017",513.026
"Jan 31, 2018",541.673
"Feb 28, 2018",518.079
"Mar 30, 2018",505.808
"Apr 30, 2018",509.694
"May 31, 2018",508.769
"Jun 29, 2018",505.198
"Jul 31, 2018",519.818
"Aug 31, 2018",522.881
"Sep 28, 2018",524.253
"Oct 31, 2018",484.571
"Nov 30, 2018",490.857
"Dec 31, 2018",455.662
"Jan 31, 2019",491.194
"Feb 28, 2019",503.481
"Mar 29, 2019",508.548
"Apr 30, 2019",524.844
"May 31, 2019",492.115
"Jun 28, 2019",523.442
"Jul 31, 2019",524.350
"Aug 30, 2019",510.877
"Sep 30, 2019",520.651
"Oct 31, 2019",534.411
"Nov 29, 2019",546.695
"Dec 31, 2019",565.244
"Jan 31, 2020",558.621
"Feb 28, 2020",512.757
"Mar 31, 2020",442.346
"Apr 30, 2020",489.169
"May 29, 2020",509.470
"Jun 30, 2020",524.908
"Jul 31, 2020",551.894
"Aug 31, 2020",584.864
"Sep 30, 2020",565.148
"Oct 30, 2020",550.995
"Nov 30, 2020",618.266
"Dec 31, 2020",646.268
"Jan 29, 2021",642.907
"Feb 26, 2021",657.146
"Mar 31, 2021",673.288
"Apr 30, 2021",701.830
"May 31, 2021",711.450
"Jun 30, 2021",719.970
"Jul 30, 2021",724.209
"Aug 31, 2021",741.271
"Sep 30, 2021",709.512
"Oct 29, 2021",745.229
"Nov 30, 2021",726.531
"Dec 31, 2021",754.828
"Jan 31, 2022",717.375
"Feb 28, 2022",698.020
,
,
Copyright MSCI Inc.,
"This information is the property of MSCI Inc. and /or its subsidiaries (collectively, ""MSCI""). It is provided for informational ",
"purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to ",
"verify or correct data, or any compilation of data or index or in the creation of any indexes. Nor may it be used in the creating, ",
"writing, offering, trading, marketing or promotion of any financial instruments or products. This information is provided on an ",
"""as is"" basis. Although MSCI shall obtain information from sources which MSCI considers reliable, none of the MSCI, its subsidiaries ",
"or its or their direct or indirect information provider or any other third party involved in, or related to, compiling, computing or ",
"creating the information (collectively, the ""MSCI Parties"") guarantees the accuracy and/or the completeness of any of this information. ",
"purposes only, and is not a recommendation to participate in any particular trading strategy. The information may not be used to ",
"None of the MSCI Parties makes any representation or warranty, express or implied, as to the results to be obtained by any person or ",
"entity from any use of this information, and the user of this information assumes the entire risk of any use made of this information. ",
"None of the MSCI Parties makes any express or implied warranties, and the MSCI Parties hereby expressly disclaim all warranties of ",
"merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, ",
"in no event shall any of the MSCI Parties have any liability for any direct, indirect, special, punitive, consequential or any other ",
"damages (including lost profits) even if notified of the possibility of such damages. MSCI, Barra, RiskMetrics and FEA ",
and all other service marks referred to herein are the exclusive property of MSCI and/or its subsidiaries. All MSCI indexes and data ,
are the exclusive property of MSCI and may not be used in any way without the express written permission of MSCI.  ,
