DATE,WPU10170502
2/1/2017,84.8
3/1/2017,84.8
4/1/2017,84.8
5/1/2017,84.8
6/1/2017,84.8
7/1/2017,84.8
8/1/2017,84.8
9/1/2017,84.8
10/1/2017,84.8
11/1/2017,84.8
12/1/2017,91.4
1/1/2018,91.6
2/1/2018,94.5
3/1/2018,102.6
4/1/2018,107.5
5/1/2018,107.9
6/1/2018,110.2
7/1/2018,111.1
8/1/2018,112.9
9/1/2018,112.7
10/1/2018,119
11/1/2018,116.5
12/1/2018,116.5
1/1/2019,115.1
2/1/2019,114.1
3/1/2019,115
4/1/2019,112.2
5/1/2019,112.8
6/1/2019,116.3
7/1/2019,116.6
8/1/2019,118.8
9/1/2019,119.1
10/1/2019,120.7
11/1/2019,120.8
12/1/2019,120.8
1/1/2020,118.8
2/1/2020,118.6
3/1/2020,117.7
4/1/2020,117.3
5/1/2020,115.8
6/1/2020,117.1
7/1/2020,113
8/1/2020,113.7
9/1/2020,117.3
10/1/2020,117.7
11/1/2020,118.5
12/1/2020,119.9
1/1/2021,118.4
2/1/2021,119.9
3/1/2021,120.3
4/1/2021,123.3
5/1/2021,129.4
6/1/2021,129.9
7/1/2021,137.539
8/1/2021,148.272
9/1/2021,148.476
10/1/2021,144.798
11/1/2021,148.293
12/1/2021,152.478
1/1/2022,155.572
2/1/2022,168.909
